Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Février 2024 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Hayange 57240; 1 540
Hazebrouck 59190; 1 920
Heillecourt 54180;  260
Hem 59510; 1 920
Hendaye 64700; 1 760
Hénin-Beaumont 62110; 2 970
Hennebont 56700; 1 440
Herbignac 44410;  570
Herblay 95220; 2 460
Héric 44810;  440
Héricourt 70400; 1 060
Hérouville-Saint-Clair 14200; 2 770
Hersin-Coupigny 62530;  590
Hettange-Grande 57330;  400
Hirson 02500; 1 200
Hoenheim 67800; 1 060
Hombourg-Haut 57470;  580
Homécourt 54310;  620
Honfleur 14600;  830
Horbourg-Wihr 68180;  400
Houdain 62150;  690
Houilles 78800; 2 480
Houplines 59116;  650
Huningue 68330;  740
Hyères 83400; 5 360
Idron 64320;  340
Ifs 14123; 1 050
Igny 91430;  530
Ille-sur-Têt 66130;  930
Illkirch-Graffenstaden 67400; 2 380
Illzach 68110; 1 680
Ingré 45140;  810
Inzinzac-Lochrist 56650;  530
Irigny 69540;  650
Isbergues 62330;  750
Isle 87170;  490
Issoire 63500; 1 510
Issoudun 36100; 1 100
Issy-les-Moulineaux 92130; 4 920
Istres 13800; 4 400
Itteville 91760;  340
Ivry-sur-Seine 94200; 6 950
Izon 33450;  510
Jacou 34830;  530
Janzé 35150;  610
Jarny 54800;  720
Jarville-la-Malgrange 54140; 1 040
Jassans-Riottier 01480;  480
Jaunay-Clan 86130;  550
Jeumont 59460; 1 310
Joeuf 54240;  710
Joigny 89300; 1 120
Joinville-le-Pont 94340; 1 400
Jonage 69330;  370
Jonquières 84150;  510
Jouars-Pontchartrain 78760;  290
Joué-lès-Tours 37300; 3 830
Jouy-en-Josas 78350;  320
Jouy-le-Moutier 95280; 1 380
Jurançon 64110;  620
Juvignac 34990; 1 530
Juvisy-sur-Orge 91260; 1 800
Kembs 68680;  440
Kervignac 56700;  430
Kingersheim 68260; 1 170
Kourou 97310; 3 410
L' Île-d'Yeu 85350;  440
La Balme-de-Sillingy 74330;  400
La Bassée 59480;  650
La Baule-Escoublac 44500; 1 360
La Bouilladisse 13720;  440
La Cadière-d'Azur 83740;  350
La Celle-Saint-Cloud 78170; 1 490
La Chapelle-Basse-Mer 44450;  480
La Chapelle-d'Armentières 59930;  650
La Chapelle-Saint-Luc 10600; 2 000
La Chapelle-Saint-Mesmin 45380;  920
La Chapelle-sur-Erdre 44240; 1 220
